['生活方式套房 (Lifestyle Suite)', '雷根套房 (Legian Suite)', '豪华套房 (Luxe Suite)']|l-hotel-seminyak,,,,,,
[]|seminyak-icon,,,,,,,,
[]|dyana-villas,,,,,,,,
[]|jamahal-private-resort-and-spa,,,,,,,,
[]|the-beverly-hills-a-luxury-villas-spa,,,,,,,,
[]|baliku-beach-front-luxury-private-pool-villas,,,,,,,,
[]|ahimsa-beach,,,,,,,,
[]|the-wangsa-benoa,,,,,,,,
[]|the-royal-santrian-villas,,,,,,,,
[]|bumi-linggah-the-pratama-villas,,,,,,,,
[]|the-banyumas-villa,,,,,,,,
[]|indiana-kenanga-luxury-boutique-hotel-spa,,,,,,,,
[]|coconuts-beach-resort,,,,,,,,
[]|villa-marlee,,,,,,,,
[]|villa-nelayan-by-nakula-management-island,,,,,,,,
[]|askara-villa,,,,,,,,
[]|komea-villa,,,,,,,,
[]|tigadis-villa,,,,,,,,
[]|mahagiri-villas-dreamland-spa,,,,,,,,
[]|agung-nirwana-villas-and-spa,,,,,,,,
[]|the-kryamaha-villas,,,,,,,,
[]|villa-kayu-lama,,,,,,,,
[]|ashling-villa,,,,,,,,
['单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)']|sandi-kala-villas,,,,,,,
[]|onje-villa,,,,,,,,
[]|astamana-villa-canggu,,,,,,,,
[]|kishi-kishi-house,,,,,,,,
[]|ziva-a-residence,,,,,,,,
[]|the-awan-villas,,,,,,,,
['单卧室泳池别墅 (One Bed Room Pool Villa)', '单卧室奢华独立泳池别墅 (Luxury 1-Bedroom Private Pool Villa)', '双卧室泳池别墅 (Two Bed Room Pool Villa)']|the-widyas-luxury-villa,,,,,,
[]|the-layar-designer-villas-and-spa,,,,,,,,
[]|ubud-padi-villas,,,,,,,,
[]|balangan-beach-villa,,,,,,,,
[]|goodway-hotel-resort,,,,,,,,
[]|nusa-dua-retreat-boutique-villa-resort-and-spa,,,,,,,,
[]|the-shanti-residence,,,,,,,,
[]|kubu-kedungu-villas,,,,,,,,
[]|the-sanyas-retreat,,,,,,,,
[]|d’wina-villa-kuta-by-family-hospitality,,,,,,,,
[]|rumah-tyang,,,,,,,,
[]|villa-natures,,,,,,,,
[]|d’legon-villa,,,,,,,,
[]|lily-lane-villas,,,,,,,,
[]|bumi-ubud-resort,,,,,,,,
[]|pandawas-villas,,,,,,,,
[]|klumpu-resort,,,,,,,,
[]|aleesha-villa-sanur,,,,,,,,
[]|bali-life-villa-at-bumi-ayu,,,,,,,,
[]|nyaman-villas,,,,,,,,
[]|daluman-villa,,,,,,,,
[]|green-chaka-eden,,,,,,,,
[]|alam-bidadari-seminyak-villas,,,,,,,,
[]|villa-simpatico,,,,,,,,
[]|bvilla-pool,,,,,,,,
[]|the-citta-residence,,,,,,,,
[]|the-lokha-umalas-villas-spa,,,,,,,,
[]|the-dusun,,,,,,,,
[]|villa-travis,,,,,,,,
[]|villa-silviana,,,,,,,,
[]|bukit-heights-by-the-kulawi,,,,,,,,
[]|lalang-temu-villas,,,,,,,,
[]|temple-hill-residence-villa,,,,,,,,
[]|villa-teman,,,,,,,,
[]|villa-sasoon,,,,,,,,
[]|lembongan-cliff-villas,,,,,,,,
[]|villa-aamoda,,,,,,,,
[]|apple-villas-apartments,,,,,,,,
[]|the-griya-villas-spa,,,,,,,,
[]|villa-paradiso,,,,,,,,
[]|the-kampung-resort-ubud,,,,,,,,
['豪华套房 (Deluxe Suite)', '单卧室别墅 (1 Bedroom Villa)', '单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)']|munduk-moding-plantation,,,,,
[]|villa-sutra,,,,,,,,
[]|sandi-agung-villa,,,,,,,,
[]|le-nixsun-villa-spa,,,,,,,,
[]|villa-ultimo,,,,,,,,
[]|chantal-villa,,,,,,,,
[]|kayumanis-jimbaran-private-estate,,,,,,,,
[]|belmond-jimbaran-puri,,,,,,,,
[]|alila-villas-uluwatu,,,,,,,,
[]|the-ubud-village-resort,,,,,,,,
[]|18-suite-villa-loft-by-amithya,,,,,,,,
[]|amarterra-villas-nusa-dua-mgallery-collection,,,,,,,,
[]|anantara-seminyak-resort-spa,,,,,,,,
[]|anema-villa-seminyak,,,,,,,,
[]|bali-island-villas-spa,,,,,,,,
[]|ashoka-tree-resort-at-tanggayuda,,,,,,,,
[]|banyan-tree-ungasan,,,,,,,,
[]|bidadari-private-villas-retreat,,,,,,,,
[]|dreamland-villas-and-spa,,,,,,,,
[]|furama-villas-spa-ubud,,,,,,,,
[]|gending-kedis-luxury-villas,,,,,,,,
[]|grania-villas,,,,,,,,
[]|kayumanis-nusa-dua-private-villa,,,,,,,,
[]|kayumanis-ubud-private-villa-spa,,,,,,,,
[]|lv8-resort-hotel,,,,,,,,
[]|maca-villas-spa,,,,,,,,
[]|mahagiri-villas,,,,,,,,
[]|mahala-hasa-villas,,,,,,,,
[]|paradise-loft-villas,,,,,,,,
[]|pat-mase-villa-jimbaran,,,,,,,,
['一卧室泳池别墅 (One Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)', '单卧室别墅 (1 Bedroom Villa)']|samaja-villas-seminyak,,,,,,
[]|sun-island-boutique-villas-spa-seminyak,,,,,,,,
[]|the-chedi-club-tanah-gajah--ubud-,,,,,,,,
[]|the-elysian-boutique-villa-hotel,,,,,,,,
[]|kayumanis-sanur-private-villa-spa,,,,,,,,
[]|the-rishi-villa-umalas,,,,,,,,
[]|the-wolas-villa,,,,,,,,
[]|hanging-gardens-of,,,,,,,,
[]|astana-kunti-villa,,,,,,,,
[]|pondok-sebatu-villa,,,,,,,,
[]|kunti-villas,,,,,,,,
['三卧室泳池别墅 (3 Bedroom Pool Villa)']|villa-penelopy,,,,,,,,
[]|soleya-villa,,,,,,,,
['单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)', '三卧室泳池别墅 (3 Bedroom Pool Villa)']|the-santai,,,,,,
[]|the-villas-at-ayana-resort--bali,,,,,,,,
[]|parigata-villas-resort,,,,,,,,
[]|ulu-segara-luxury-suites-villas,,,,,,,,
[]|double-six--luxury-hotel-seminyak,,,,,,,,
[]|d’sri-saren-legian-kuta,,,,,,,,
[]|vidi-villas,,,,,,,,
[]|kei-villas,,,,,,,,
[]|sandhya-villa,,,,,,,,
[]|villa-asri-batubelig,,,,,,,,
[]|the-jineng-villas-by-karaniya-experience,,,,,,,,
[]|bali-golden-villa,,,,,,,,
[]|kiss-villas-by-karaniya-experience,,,,,,,,
[]|the-ahimsa,,,,,,,,
[]|dura-villas,,,,,,,,
[]|chateau-de-luxury-villas-and-spa,,,,,,,,
[]|kumpul-kumpul-villa-seminyak,,,,,,,,
[]|villa-barissan,,,,,,,,
[]|hacienda-villas,,,,,,,,
[]|noah-bridal-villa,,,,,,,,
[]|gita-kencana-villa,,,,,,,,
[]|transera-grand-kancana-villas,,,,,,,,
[]|villa-asmara-an-elite-haven,,,,,,,,
[]|kupu-kupu-private-villa,,,,,,,,
[]|casa-nuri-villa,,,,,,,,
[]|bali-corail-villa,,,,,,,,
[]|uppala-villa-spa-umalas,,,,,,,,
[]|black-penny-villa-ubud,,,,,,,,
[]|umae-villa-ubud,,,,,,,,
[]|villa-tukad-alit,,,,,,,,
[]|alam-puisi-villa,,,,,,,,
[]|the-oshan-villas,,,,,,,,
[]|the-antara-villas,,,,,,,,
[]|svarna-suite-seminyak,,,,,,,,
[]|dupa-ubud-villa,,,,,,,,
[]|aria-villas-ubud,,,,,,,,
[]|bracha-villas,,,,,,,,
[]|villa-lakshmi,,,,,,,,
[]|virmas-private-villa,,,,,,,,
[]|agata-villas,,,,,,,,
[]|villa-ali-agung,,,,,,,,
[]|seven-angels-villa,,,,,,,,
[]|casa-di-ungasan-suite-and-residence,,,,,,,,
[]|crown-villa-seminyak,,,,,,,,
[]|the-bidadari-luxury-villas-spa,,,,,,,,
[]|karma-jimbaran,,,,,,,,
[]|amanusa,,,,,,,,
[]|tjendana-nusa-dua,,,,,,,,
[]|gajah-villas-by-nagisa,,,,,,,,
[]|the-oasis-retreat-seminyak,,,,,,,,
[]|dencarik-villas,,,,,,,,
[]|villa-khaizan,,,,,,,,
[]|villa-casis-by-nagisa,,,,,,,,
[]|puri-sebali-resort,,,,,,,,
[]|puri-sebatu-resort,,,,,,,,
[]|villa-kija,,,,,,,,
[]|the-aura-private-villa,,,,,,,,
[]|scene-estate,,,,,,,,
[]|villa-donnys,,,,,,,,
[]|villa-rock-tanah-lot,,,,,,,,
['双卧室泳池别墅 (2 Bedroom Pool Villa)']|sari-alexa-villa,,,,,,,,
[]|ratu-alexa-villa,,,,,,,,
[]|bali-heaven-villa,,,,,,,,
['一卧室泳池别墅 (One Bedroom Pool Villa)', '单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)', '两卧室泳池别墅  (Two Bedroom Pool Villa )', '两卧室泳池别墅 - 带加床  (Two-Bedroom Pool Villa with Extra Bed)', '三卧室泳池别墅 (3 Bedroom Pool Villa)']|the-seminyak-suite-private-villa,,,
[]|pure-villas,,,,,,,,
[]|vamelo-villa,,,,,,,,
[]|villa-mandala-desa,,,,,,,,
[]|satu-lagi-villa,,,,,,,,
[]|romashka-villa,,,,,,,,
[]|orivilla,,,,,,,,
[]|sunset-villa-lembongan,,,,,,,,
[]|the-loft-villa,,,,,,,,
[]|destiny-villas-seminyak,,,,,,,,
[]|villa-bukit-lovina,,,,,,,,
[]|laelia-private-resort,,,,,,,,
['两卧室别墅 - 带私人泳池 (2 Bedroom Villa with Private Pool)']|the-gatra-villa,,,,,,,,
[]|villa-sournomie,,,,,,,,
[]|villa-bidana,,,,,,,,
[]|wong-villa,,,,,,,,
[]|villa-daksina,,,,,,,,
[]|bali-emerald-villa,,,,,,,,
[]|andamar-luxury-villas,,,,,,,,
['Tapa别墅I (Tapa Villa I)']|tapa-villa-i-ii,,,,,,,,
[]|villa-tolroy,,,,,,,,
[]|premium-villas-seminyak,,,,,,,,
[]|balicosy-villas,,,,,,,,
[]|villa-ambient,,,,,,,,
['双层别墅-有露台 (Two Storey Terrace Villa)', '豪华别墅-有露台 (Deluxe Terrace Villa)', '两卧室别墅 (Two Bedroom Villa)']|the-white-villas-ubud,,,,,,
['一卧室别墅 (One Bedroom Villa)', '家庭别墅 (Family Villa)']|villa-pisces-ubud,,,,,,,
[]|the-benoa-beach-front-villa-spa,,,,,,,,
[]|the-yubi-boutique-villas,,,,,,,,
[]|ellora-villas,,,,,,,,
[]|villa-negeri-impian,,,,,,,,
[]|seminyak-beach-villa,,,,,,,,
[]|ts-hut-lembongan,,,,,,,,
[]|wismaya-villa,,,,,,,,
[]|bvilla-seminyak,,,,,,,,
[]|madhya-villa,,,,,,,,
[]|katala-villas-and-suites-sanur,,,,,,,,
[]|ziva-a-boutique-villa,,,,,,,,
[]|bvilla-seaside,,,,,,,,
[]|the-light-exclusive-villas-spa,,,,,,,,
[]|the-kasih-villas-and-spa,,,,,,,,
[]|nomina-villa,,,,,,,,
[]|villa-asri-seminyak,,,,,,,,
[]|bakung-ubud-resort-and-villas,,,,,,,,
[]|asuri-villas-kuta-by-family-hospitality,,,,,,,,
[]|the-bliss-villa,,,,,,,,
[]|pandawa-village,,,,,,,,
['单卧室豪华泳池别墅 (1 Bedroom Deluxe Pool Villa)', '双卧室豪华泳池别墅 (2 Bedroom Deluxe Pool Villa)']|villa-nian-luxury-villa-spa,,,,,,,
[]|ubud-heaven-sayan,,,,,,,,
['Canopy套房 (Canopy Suite)', '花园套房 (Garden Suite)', '森林套房 (Forest Suite)', 'Flexible Promotion - Garden Suite']|bisma-eight,,,,,
['一卧室泳池别墅 (One Bedroom Pool Villa)', '两卧室泳池别墅 (Two Bedrooms Pool Villa)', '三卧室泳池别墅 (3 Bedroom Pool Villa)']|the-canggu-boutique-villas-and-spa,,,,,,
[]|adma-umalas-resort,,,,,,,,
['单卧室套房 (1 Bedroom Suite)']|seminyak-suites-shiseido-spa,,,,,,,,
[]|the-haere-villa-seminyak,,,,,,,,
['双卧室别墅-含早餐 (2 Bedroom Villa With Breakfast)']|sari-bamboo-villas,,,,,,,,
[]|united-colours-of-resort-village,,,,,,,,
[]|villa-anisa,,,,,,,,
[]|villa-charlie,,,,,,,,
[]|aswattha-villas-by-premier-hospitality-asia,,,,,,,,
[]|akarasu-villa,,,,,,,,
[]|aberu-villas,,,,,,,,
[]|acacias-villa,,,,,,,,
[]|radiant-jepun-villa,,,,,,,,
[]|cozy-stay-simpang-enam,,,,,,,,
[]|ini-vie-villa,,,,,,,,
[]|bellevue-heritage-villas,,,,,,,,
[]|aiko-villa,,,,,,,,
[]|kamea-villa,,,,,,,,
[]|alamanda-canggu-villa-by-gamma-hospitality,,,,,,,,
[]|the-royal-villas-canggu,,,,,,,,
[]|umadauh-villa-padang-tawang-canggu,,,,,,,,
[]|kubal-villa-seminyak,,,,,,,,
[]|the-light-villas,,,,,,,,
[]|sri-abi-ratu-villa,,,,,,,,
[]|temuku-ubud-villas,,,,,,,,
[]|bali-national-golf-villas,,,,,,,,
[]|plataran-menjangan-resort-and-spa,,,,,,,,
[]|buana-luxury-villas-and-spa,,,,,,,,
['单卧室泳池别墅 (1 Bed Room Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)']|maharaja-villas,,,,,,,
[]|kayu-suar-luxury-villas-and-spa,,,,,,,,
[]|natura-resort-and-spa-ubud,,,,,,,,
[]|royal-samaja-villas,,,,,,,,
[]|regali-villa,,,,,,,,
['双卧室泳池别墅 (2 Bedroom Pool Villa)', '三卧室泳池别墅 (3 Bedroom Pool Villa)', '单卧室泳池别墅 (1 Bedroom Pool Villa)']|royal-kriyamaha-villa,,,,,,
[]|de-ubud-villas-spa,,,,,,,,
[]|adinda-balangan-beach-villa,,,,,,,,
[]|aleva-villa,,,,,,,,
[]|royal-pool-villa-club,,,,,,,,
[]|the-sanctoo-villas-spa-ubud,,,,,,,,
[]|prasana-by-arjani-resort,,,,,,,,
[]|nayla-boutique-villa,,,,,,,,
[]|dedary-kriyamaha-ubud,,,,,,,,
[]|atta-mesari-villas,,,,,,,,
[]|planta-luxury-villa,,,,,,,,
[]|hideaway-villas,,,,,,,,
[]|villa-simona-oasis-an-elite-haven,,,,,,,,
[]|ocean-valley-villa,,,,,,,,
[]|echo-beach-townhouses,,,,,,,,
[]|tejaprana-resort-spa,,,,,,,,
[]|the-kalyan-villa,,,,,,,,
[]|maya-jineng,,,,,,,,
['单卧室豪华套房 (Deluxe Suite - 1-Bedroom)', '蜜月套房(特大床) (Honeymoon Suite with King Bed)', '双卧室家庭别墅 (Family Suite - 2-Bedroom)', '特别优惠 - 私人蜜月套房 (Special Offer Private Honeymoon Suite)']|astana-swaha-villa,,,,,
[]|vinila-nusa-dua,,,,,,,,
[]|baliana-villa,,,,,,,,
[]|purana-boutique-resort,,,,,,,,
[]|djoglo-villa-ubud,,,,,,,,
[]|villa-uma-sari,,,,,,,,
[]|dian-lestari-villas-and-painting,,,,,,,,
[]|ngurah-villa,,,,,,,,
[]|villa-bukti-paradise,,,,,,,,
['双卧室泳池别墅 (2-Bedroom Villa with Pool)']|deddy-villa,,,,,,,,
[]|jd-villa-seminyak,,,,,,,,
[]|villa-elanora-1,,,,,,,,
[]|villa-santai-kuta,,,,,,,,
[]|villa-jepun-kuta,,,,,,,,
[]|villa-taman,,,,,,,,
['双卧室别墅 (2 Bedroom Villa)', '别墅-带独立泳池 (Villa With Private Pool)']|villa-ultima,,,,,,,
[]|villa-jalak-berawa,,,,,,,,
[]|revata-villa-3,,,,,,,,
['双卧室泳池别墅 (2-Bedroom Villa with Pool)']|sunrise-villa-kuta,,,,,,,,
[]|villa-halcyon-a2,,,,,,,,
[]|nicole-villa,,,,,,,,
['五卧室别墅 (5 Bedroom Villa)']|villa-louwie,,,,,,,,
[]|villa-undici-jalak,,,,,,,,
[]|villa-capung-bawah,,,,,,,,
[]|villa-kerasan,,,,,,,,
[]|kubu-sari-villa-lembongan,,,,,,,,
[]|villa-uma-by-esmee-management,,,,,,,,
[]|villa-sakura,,,,,,,,
[]|ardha-chandra-villa,,,,,,,,
[]|grand-nismara-villa,,,,,,,,
[]|villa-manggis-sanur,,,,,,,,
[]|la-leela-gaing-mas-jimbaran,,,,,,,,
[]|da-vinci-the-villa,,,,,,,,
[]|dewi-sri-private-villa,,,,,,,,
[]|aksari-villa,,,,,,,,
[]|the-kirana-ungasan-villa,,,,,,,,
[]|air-sanih-beach-villa,,,,,,,,
[]|alamdini-resort-ubud,,,,,,,,
[]|grand-la-villais-villa-and-spa-seminyak,,,,,,,,
[]|padma-villa,,,,,,,,
[]|villa-jenja,,,,,,,,
[]|botanical-private-villas,,,,,,,,
['三卧室别墅 (Three-Bedroom Villa)']|cabana-village-jimbaran,,,,,,,,
[]|lembongan-d-licks-villa,,,,,,,,
[]|sativa-villas-ubud,,,,,,,,
['一卧室泳池别墅 (One Bedroom Pool Villa)', '两卧室泳池别墅  (Two Bedroom Pool Villa )']|temple-view-boutique-villa,,,,,,,
[]|intan-mutiara-seminyak-villa,,,,,,,,
[]|rabasta-kubu-suites-seminyak,,,,,,,,
[]|galang-bulan-villas,,,,,,,,
[]|homayoon-villa,,,,,,,,
[]|uppala-villa-spa-nusa-dua,,,,,,,,
[]|shania-villas-canggu,,,,,,,,
[]|anna-villa,,,,,,,,
[]|villa-alma,,,,,,,,
[]|pondok-buda,,,,,,,,
[]|samsara-ubud,,,,,,,,
[]|sleeping-budha-villa,,,,,,,,
[]|d--kaja-ubud,,,,,,,,
[]|esperanto-villa-seminyak,,,,,,,,
[]|vivo-villas,,,,,,,,
[]|babakan-view-villas,,,,,,,,
[]|taman-bintang-villa-ubud,,,,,,,,
[]|maha-lakshmi-ubud-villa,,,,,,,,
[]|abirama-ubud-villa,,,,,,,,
[]|villa-pusha,,,,,,,,
[]|villa-di-berawa-beach-side,,,,,,,,
[]|villa-lilin,,,,,,,,
[]|villa-hening,,,,,,,,
['红色两卧室别墅 - 带私人游泳池 (Red Two-Bedroom Villa with Private Pool)', '四卧室别墅-带独立泳池 (Four-Bedroom Villa with Private Pool)']|frost-villas,,,,,,,
[]|colonial-white-villa-seminyak,,,,,,,,
['平房 (Bungalow)']|agura-bungalow-petitenget-beach,,,,,,,,
[]|villa-plumeria,,,,,,,,
[]|bije-suite-suweta,,,,,,,,
[]|nick-villa,,,,,,,,
[]|joli-guesthouse-bungalows,,,,,,,,
[]|villa-tounga-sanur,,,,,,,,
[]|palm-house,,,,,,,,
[]|villa-odyssey,,,,,,,,
[]|villa-antiga-2,,,,,,,,
[]|deluxe-seminyak-villa,,,,,,,,
[]|jepun-villa-1-sanur,,,,,,,,
[]|waters-view-villa-by-soscomma,,,,,,,,
[]|kupu-kupu-bungalows,,,,,,,,
[]|villa-savvoya,,,,,,,,
[]|royal-retreats-villa,,,,,,,,
[]|thantha-ubud-villa,,,,,,,,
[]|villa-leon-managed-by-lovel-elite-estate,,,,,,,,
[]|s18-villas,,,,,,,,
[]|the-jasmina-estate,,,,,,,,
[]|villa-cosmopolitan,,,,,,,,
[]|lalasa-villas,,,,,,,,
[]|kubu-tani,,,,,,,,
[]|villa-krishna,,,,,,,,
[]|villa-melati,,,,,,,,
[]|villa-ladisa-balangan,,,,,,,,
['两卧室别墅 (Two-Bedroom Villa)']|sunmix-villa,,,,,,,,
[]|komaneka-at-keramas-beach-bail,,,,,,,,
[]|villa-mahi-mahi-bingin,,,,,,,,
[]|benoa-sea-suites-and-villas,,,,,,,,
[]|pondok-griya-sandi-villa,,,,,,,,
[]|hurley-house,,,,,,,,
[]|dawas-villa-canggu,,,,,,,,
[]|cemagi-beach-front-villa,,,,,,,,
[]|villa-arushi-seminyak,,,,,,,,
[]|mahana-boutique-apartment-denpasar),,,,,,,,
[]|villa-kora,,,,,,,,
[]|namindra-villa,,,,,,,,
[]|dreamscape-bali-villas-by-nagisa-bali,,,,,,,,
[]|laba-ubud-villa,,,,,,,,
[]|ceningan-cool-breeze-villa,,,,,,,,
[]|villa-positano,,,,,,,,
[]|villa-kubu-agung,,,,,,,,
[]|villa-orchid,,,,,,,,
[]|villa-dedaren,,,,,,,,
[]|villa-srikandi,,,,,,,,
['平房 (Bungalow)']|bo-s-bungalows-and-restaurant,,,,,,,,
[]|lucky-family-cottage,,,,,,,,
[]|umah43-ubud-2,,,,,,,,
[]|pondok-anastasia,,,,,,,,
[]|villa-ora,,,,,,,,
[]|chandara-villa-nusa-dua,,,,,,,,
[]|serene-rice-field-terrace-canggu-3--bedrooms-villa,,,,,,,,
[]|villa-sudamala,,,,,,,,
[]|n-villa,,,,,,,,
['别墅-带独立泳池 (Villa With Private Pool)']|villa-nuansa-cliff,,,,,,,,
[]|villa-lumba-lumba,,,,,,,,
[]|balian-beach-villa,,,,,,,,
[]|villa-de-siam,,,,,,,,
[]|villa-jackson,,,,,,,,
[]|villa-beach-seminyak,,,,,,,,
[]|bali-butterfly-villas,,,,,,,,
[]|villa-gwen,,,,,,,,
[]|alit-villa,,,,,,,,
[]|lemon-grass-villa,,,,,,,,
[]|tegal-jero-homestay,,,,,,,,
[]|villa-suryanti,,,,,,,,
[]|beranda-private-villa,,,,,,,,
[]|villa-semadhi,,,,,,,,
['高级别墅 (Superior Villa)', '高级别墅 (Superior Villa)', '高级别墅 (Superior Villa)']|lovina-villa-resort-puri-bulan,,,,,,
[]|soobali-roemah-emily,,,,,,,,
[]|soobali-mudita-villa,,,,,,,,
[]|villa-jalak,,,,,,,,
[]|phinisi-villas-seminyak-city-center,,,,,,,,
['四卧室别墅-带独立泳池 (Four-Bedroom Villa with Private Pool)']|the-lane-villa,,,,,,,,
[]|villa-happy-days,,,,,,,,
[]|allira-villa-1,,,,,,,,
[]|villa-ahh-ubud,,,,,,,,
[]|the-villa-umalas,,,,,,,,
[]|villa-double-six,,,,,,,,
[]|the-indies-estate,,,,,,,,
[]|villa-shaniya,,,,,,,,
[]|villa-dunia-impian,,,,,,,,
[]|turtle-dove-menjangan,,,,,,,,
[]|villa-joey,,,,,,,,
[]|cloud-nine-estate,,,,,,,,
[]|natya-residence-jimbaran-denpasar,,,,,,,,
['双卧室别墅-带独立泳池 (Two-Bedroom Villa with Private Pool)']|ubud-lestari-villa,,,,,,,,
[]|villa-lovina-pondok-jepun,,,,,,,,
[]|dragonfly-cottage,,,,,,,,
[]|bale-village-c3,,,,,,,,
[]|luxury-villa-seminyak-serenity,,,,,,,,
[]|ila-villa,,,,,,,,
['Joglo别墅 (Joglo Villa)', '单卧室泳池别墅 (1 Bedroom Pool Villa)']|ubud-art-villas,,,,,,,
[]|villa-168,,,,,,,,
[]|akasia-homestay,,,,,,,,
[]|villa-lumba-lumba-lovina-7,,,,,,,,
['单卧室别墅 (1 Bedroom Villa)']|the-muaya-villa,,,,,,,,
[]|rumah-nyaman-villa,,,,,,,,
[]|villa-abadi-luxury-vacation-rental,,,,,,,,
[]|villa-underwood,,,,,,,,
[]|golden-garden-guesthouse,,,,,,,,
[]|ampel-gading-arteast-house,,,,,,,,
